title,authors,journal,year,doi,pmid,source_query
"Effects of glutamate supplementation on feed consumption, intestinal histology, growth performance, muscle mass, intestinal barrier, and antioxidant-immune genes in the juvenile giant freshwater prawn, &lt;i&gt;Macrobrachium rosenbergii&lt;/i&gt;.","Deethaisong T, Manjit P, Vetkama W, Tinikul R, Sobhon P, Tinikul Y.",,2026,10.1016/j.vas.2026.100704,42239500,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Preparation and Identification of the Novel Umami Peptides from Sea Cucumber Viscera Hydrolysate.,"Ren X, Zhong Y, Wang C, Liang Q, Li S, Chen R, Li D, Zhu C, Fu X, Mou H.",,2026,10.3390/foods15040673,41750863,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Evolutionary and physiological arguments for the existence of a circalunar clock in humans.,"Helfrich-Förster C, Wehr TA.",,2026,10.1186/s12862-026-02550-8,42380750,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Structure and function of the nervous system in the stem of the siphonophore Nanomia septata: its role in swimming coordination.,"Norekian TP, Meech RW.",,2026,10.1242/jeb.251974,42099264,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Hormone PYY does not Explain the Variability in Weight Loss After Roux-en-Y Gastric Bypass: Evidence From a Meta-Analysis.,"Macanhã Scremin G, Bicudo Bregion P, Portes Nascimento AC, Marchiori Fein J, Halamy Pereira L, Ivano VK, Cazzo E.",,2026,10.1007/s11695-026-08559-8,41854997,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Relationships between increasing pre-load meal size, post-prandial acyl ghrelin, LEAP2, insulin, glucose, appetite, and food intake in adults without obesity","Parastika T, Liu J, Bhargava R, Ng WI, Guo J, Rodriguez Flores M, Zhang X, Emini M, Li W, Luur S, Barley Z, Brunstrom J, Goldstone AP.",,2026,10.64898/2026.07.29.26359169,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Dietary supplementation of glycerol monolaurate improves growth performance, meat quality, and gut microbiota in black pigs.","Xiao N, Wang X, Wang J, Cai H, Feng F, Zhao M.",,2026,10.1016/j.aninu.2025.09.005,41716843,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Single-cell analyses of tissue regeneration in two true jellyfish.,"Li Y, Law STS, Nong W, So WL, Xie Y, Leung TCN, Li TH, Tse J, Yip HY, Jin O, Zhang J, Chui APY, Lau KF, John A, Kai ZP, Bendena WG, Hayward A, Wei Y, Chan TF, Ngai SM, Hui JHL.",,2026,10.1093/molbev/msag128,42212572,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Nanomedicine-based theranostics in atherosclerotic cardiovascular diseases.,"Yeh CF, Ianalieva L, Wong HK, Wu CC, Yang KC.",,2026,10.1186/s12929-026-01245-y,42069590,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Single-cell analysis reveals neuroprotective histone deacetylase inhibitor pathways.,"Peyton M, Jury-Garfe N, Liu J, Beimfohr C, Sunil C, Brooks S, Zhang P, McCabe SD, Richardson TI, Huang K, Lasagna-Reeves CA, Zhang J, Johnson TS.",,2026,10.1002/alz.71108,41630642,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"The impacts of ready-to-eat-cereals and cereal fibers on gut health, body weight, and cardiometabolic health.",Comerford KB.,,2026,10.3389/fnut.2026.1717345,42079003,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
RNA-Based Therapeutic Strategies in Multiple Myeloma: From Molecular Targets to Delivery and Clinical Translation.,"Baranov MV, Shalik I, Tsvetkova A, Streltsova A, Ovcharenko D, Ivanov R, Reshetnikov V.",,2026,10.3390/ijms27020843,41596492,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Obesogens in Prostate Cancer: An Endocrine and Metabolic Threat.,"Feijó M, Fonseca LRS, Kiss-Toth E, Socorro S, Correia S.",,2026,10.1007/s13679-026-00690-y,41739363,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Biocompatible nanostructured chitosan scaffolds for enhanced diabetic wound healing: Innovations and strategies.,"Murali R, Rajagopal P, Al-Huseini I, Veeraraghavan VP, Sirasanagandla SR, Jayaraman S.",,2025,10.1007/s13205-025-04377-4,40551969,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Acute Effects of Pelemir-Enriched Bread on Postprandial Glucose and Hormonal Responses in Adults with Obesity, Type 2 Diabetes, and Normal Weight: A Two-Phase Exploratory Study.","Soyluk Selcukbiricik O, Calikoglu F, Idiz C, Dura G, Sir G, Eryigit OY, Kulaksiz I, Yilmazturk MH, Kubat Uzum A, Karsidag K, Satman I.",,2025,10.3390/nu17172819,40944207,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
TnP as a Multifaceted Therapeutic Peptide with System-Wide Regulatory Capacity.,"Disner GR, Wincent E, Lima C, Lopes-Ferreira M.",,2025,10.3390/ph18081146,40872537,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
In Silico Analysis of Possible microRNAs Involved in the Pathogenesis of White-Nose Syndrome in &lt;i&gt;Myotis lucifugus&lt;/i&gt;.,"Agarwal A, Willis CKR, Shrivastav A.",,2025,10.3390/ijms26178200,40943124,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
